word,type,language,translation
Course is in use!,text,english,Course is in use!
Course is in use!,text,dutch,Cursus is in gebruik!
User successfully created,text,english,User successfully created
User successfully created,text,dutch,Gebruiker succesvol aangemaakt
User(s) successfully deleted!,text,english,User(s) successfully deleted!
User(s) successfully deleted!,text,dutch,Gebruiker (s) succesvol verwijderd!
New Course,text,english,New Course
New Course,text,dutch,Nieuwe cursus
New Exercise,text,english,New Exercise
New Exercise,text,dutch,Nieuwe oefening
User Group successfully updated,text,english,User Group successfully updated
User Group successfully updated,text,dutch,Gebruikersgroep succesvol bijgewerkt
Course requirements successfully updated,text,english,Course requirements successfully updated
Course requirements successfully updated,text,dutch,Cursusvereisten succesvol bijgewerkt
User successfully updated!,text,english,User successfully updated!
User successfully updated!,text,dutch,Gebruiker succesvol bijgewerkt!
Video successfully added!,text,english,Video successfully added!
Video successfully added!,text,dutch,Video succesvol toegevoegd!
Video already exist!,text,english,Video already exist!
Video already exist!,text,dutch,Video bestaat al!
Video successfully deleted!,text,english,Video successfully deleted!
Video successfully deleted!,text,dutch,Video succesvol verwijderd!
Video not exist!,text,english,Video not exist!
Video not exist!,text,dutch,Video bestaat niet!
Course successfully uploaded!,sentence,english,Course successfully uploaded!
Course successfully uploaded!,sentence,dutch,Cursus geupload!
Questions are not enough!,sentence,english,Questions are not enough!
Questions are not enough!,sentence,dutch,Vragen zijn niet genoeg!
You have new Exercise!,sentence,english,You have new Exercise!
You have new Exercise!,sentence,dutch,Nieuwe oefening beschikbaar!
minute,text,english,minute
minute,text,dutch,minuut
hour,text,english,hour
hour,text,dutch,uur
hours,text,english,hours
hours,text,dutch,uren
second,text,english,second
second,text,dutch,seconde
seconds,text,english,seconds
seconds,text,dutch,seconden
Sequence successfully updated!,sentence,english,Sequence successfully updated!
Sequence successfully updated!,sentence,dutch,Sequentie succesvol bijgewerkt!
Please wait for the email to confirm course is uploaded!,sentence,english,Please wait for the email to confirm course is uploaded!
Please wait for the email to confirm course is uploaded!,sentence,dutch,Wacht tot de e-mail om te bevestigen dat de cursus is geüpload!
Please wait for the email to confirm course is updated!,sentence,english,Please wait for the email to confirm course is updated!
Please wait for the email to confirm course is updated!,sentence,dutch,Wacht tot de e-mail om te bevestigen dat de cursus is bijgewerkt!
Group name already exist,text,english,Group name already exist
Group name already exist,text,dutch,Groepsnaam bestaat al
Questions successfully uploaded!,text,english,Questions successfully uploaded!
Questions successfully uploaded!,text,dutch,Vragen succesvol geüpload!
User Role successfully updated!,text,english,User Role successfully updated!
User Role successfully updated!,text,dutch,Gebruikersrol succesvol bijgewerkt!
Group is in use!,text,english,Group is in use!
Group is in use!,text,dutch,Groep is in gebruik!
You have new course!,text,english,You have new course!
You have new course!,text,dutch,Je hebt een nieuwe cursus!
You have new group,text,english,You have new group
You have new group,text,dutch,Je hebt een nieuwe groep
Password successfully updated!,sentence,english,Sequence successfully updated!
Password successfully updated!,sentence,dutch,Wachtwoord succesvol bijgewerkt!
